event_id,event_type,pedestrian,neighbor,start_frame,end_frame,start_time_s,end_time_s,duration_s,x_m,y_m,radius_m,minimum_radius_m,min_speed_m_s,max_speed_m_s,speed_change_m_s,max_deceleration_m_s2,max_abs_turn_rate_deg_s,net_heading_change_deg,nearest_distance_m,predicted_separation_m,time_to_cpa_s
1,conflict,1,16.000000,39,41,0.080000,0.160000,0.080000,-2.056728,-9.989419,10.198952,10.161848,0.380080,0.552970,0.172890,2.084031,77.802400,-4.943193,0.755145,0.043094,1.346550
2,conflict,1,24.000000,54,224,0.680000,7.480000,6.800000,-0.757673,-4.753332,4.813339,0.498490,0.797268,2.305332,-0.194102,-1.158691,73.227479,-17.170657,0.384112,0.006650,0.073265
3,conflict,1,40.000000,349,357,12.480000,12.800000,0.320000,1.990484,9.672254,9.874945,9.867301,0.080611,0.111917,0.011262,-0.253588,213.442347,42.617452,0.699216,0.689192,0.108033
4,conflict,1,40.000000,382,388,13.800000,14.040000,0.240000,1.962233,9.706413,9.902768,9.892947,0.034383,0.050789,-0.016406,0.007463,49.494750,31.667910,0.912103,0.395454,1.730258
5,deceleration,1,24.000000,138,160,4.040000,4.920000,0.880000,-0.152779,-1.708090,1.714909,1.423927,0.906906,1.773676,-0.866770,-1.158691,39.002879,1.453209,0.461051,0.012779,0.560865
6,deceleration,1,16.000000,290,340,10.120000,12.120000,2.000000,1.970163,8.005677,8.244538,7.578358,0.325566,2.202599,-1.877033,-1.483588,98.367687,-48.274638,0.992283,0.817850,0.295561
7,turning,1,16.000000,39,43,0.080000,0.240000,0.160000,-2.056728,-9.989419,10.198952,10.110661,0.380080,0.728010,0.347931,2.084031,77.802400,-7.521605,0.728005,0.043094,0.261901
8,turning,1,6.000000,160,178,4.920000,5.640000,0.720000,-0.093803,-1.290445,1.293850,0.849869,0.797268,1.318105,0.411199,-0.734169,73.227479,-11.677121,0.384112,0.018224,0.451204
9,turning,1,3.000000,225,229,7.520000,7.680000,0.160000,1.323590,1.729561,2.177906,2.120845,1.520913,1.698537,0.177624,0.829668,42.250582,8.809302,0.600357,1.020371,0.060572
10,turning,1,16.000000,324,340,11.480000,12.120000,0.640000,1.865605,9.495325,9.676863,9.474309,0.325566,0.819946,-0.494380,-0.954264,98.367687,-46.027083,0.992283,0.817850,0.569713
11,turning,1,59.000000,457,459,16.800000,16.880000,0.080000,1.980202,9.780038,9.978494,9.978494,0.300628,0.359456,0.058827,0.747101,70.759136,-4.839178,0.927713,19.644727,0.455983
12,avoidance,1,16.000000,40,43,0.120000,0.240000,0.120000,-2.055363,-9.972556,10.182161,10.110661,0.466106,0.728010,0.261905,2.125331,68.423381,-4.591758,0.728005,0.081638,0.261901
13,avoidance,1,24.000000,138,178,4.040000,5.640000,1.600000,-0.202010,-1.855517,1.866481,0.849869,0.797268,1.773676,-0.455571,-1.158691,73.227479,-10.223912,0.384112,0.012779,0.451204
14,avoidance,1,3.000000,225,229,7.520000,7.680000,0.160000,1.366925,1.845987,2.296987,2.120845,1.520913,1.698537,0.177624,0.829668,42.250582,8.809302,0.600357,1.020371,0.060572
15,avoidance,1,16.000000,334,340,11.880000,12.120000,0.240000,1.915793,9.554145,9.744329,9.729843,0.325566,0.480299,-0.154734,-0.747094,77.227557,-7.938259,0.992283,0.817850,0.569713
16,conflict,2,15.000000,58,67,0.840000,1.200000,0.360000,1.755306,-9.138321,9.305375,8.735850,1.469976,1.715907,0.245931,0.487272,31.088806,-6.066346,0.855283,0.541948,0.424749
17,conflict,2,61.000000,109,275,2.880000,9.520000,6.640000,0.229215,-1.312018,1.331890,0.343212,0.500848,1.703696,-0.225875,-0.595529,91.473681,-2.863972,0.358758,0.000095,0.058595
18,conflict,2,41.000000,341,360,12.160000,12.920000,0.760000,-0.755508,5.973102,6.020693,6.020693,1.843703,1.986183,-0.007980,-0.434734,32.261320,2.387492,2.567838,0.571448,1.201286
19,conflict,2,15.000000,366,372,13.160000,13.400000,0.240000,-1.368814,7.936004,8.053186,7.925579,1.777585,1.884148,-0.094875,-0.588747,30.002059,0.140624,1.803509,0.641540,1.073325
20,conflict,2,41.000000,395,404,14.320000,14.680000,0.360000,-1.924387,9.357895,9.553715,9.463677,0.669439,0.705794,-0.004440,-0.648555,92.227542,5.850376,0.916775,0.657759,0.751715
21,deceleration,2,15.000000,373,395,13.440000,14.320000,0.880000,-1.876367,8.941278,9.136039,8.375407,0.703920,1.785953,-1.082033,-1.297432,82.810845,-33.260923,1.103718,0.776432,0.660436
22,deceleration,2,41.000000,405,412,14.720000,15.000000,0.280000,-1.922072,9.637864,9.827654,9.717946,0.322685,0.679323,-0.356639,-0.936343,303.167818,54.568348,0.882490,0.807593,0.202214
23,turning,2,41.000000,39,47,0.080000,0.400000,0.320000,1.989432,-9.937236,10.134422,9.893657,0.455033,1.052850,0.597817,1.624921,182.883913,31.064000,1.012466,0.992366,0.059464
24,turning,2,49.000000,116,120,3.160000,3.320000,0.160000,0.930583,-5.005588,5.091355,4.968824,1.523444,1.623962,-0.100518,-0.456250,44.712096,9.287468,1.711190,0.307861,1.607867
25,turning,2,17.000000,141,144,4.160000,4.280000,0.120000,0.467279,-3.632738,3.662668,3.601178,1.477617,1.493234,0.009111,-0.087115,40.603077,6.155721,1.032745,0.301519,1.625923
26,turning,2,17.000000,152,162,4.600000,5.000000,0.400000,0.127535,-2.976778,2.979509,2.686145,1.148393,1.371902,-0.223508,-0.538274,71.094572,-29.116954,0.676092,0.007653,0.952579
27,turning,2,14.000000,180,186,5.720000,5.960000,0.240000,0.144041,-1.887048,1.892538,1.792373,0.819943,0.830521,0.007375,-0.144894,45.463146,-13.449921,0.514514,0.020225,1.725817
28,turning,2,61.000000,193,242,6.240000,8.200000,1.960000,0.189914,-1.178471,1.193675,0.429785,0.500848,0.867420,-0.193002,-0.556509,91.473681,3.389467,0.419196,0.000095,0.287513
29,turning,2,61.000000,248,253,8.440000,8.640000,0.200000,0.361067,-0.106085,0.376329,0.351316,0.756555,0.954664,0.198108,0.810950,49.756588,16.335764,0.415375,0.317447,0.594021
30,turning,2,13.000000,271,277,9.360000,9.600000,0.240000,0.421356,1.021173,1.104688,0.929047,1.448519,1.500228,0.051708,0.450843,51.765262,16.581467,0.641883,0.754541,0.079169
31,turning,2,41.000000,361,365,12.960000,13.120000,0.160000,-1.185114,7.606568,7.698335,7.523202,1.919559,2.001010,-0.081451,-0.466242,41.581058,8.332132,2.165013,0.835492,1.030819
32,turning,2,41.000000,387,421,14.000000,15.360000,1.360000,-2.046014,9.587381,9.803267,9.183706,0.269387,1.118792,-0.772739,-1.290414,375.468020,137.301821,0.882490,0.657759,0.202214
33,turning,2,41.000000,430,436,15.720000,15.960000,0.240000,-2.046905,9.572571,9.788970,9.788970,0.305270,0.365877,0.004187,-0.413859,288.115105,-6.190639,0.944111,0.801769,0.819208
34,avoidance,2,42.000000,43,47,0.240000,0.400000,0.160000,1.990270,-9.842166,10.041385,9.893657,0.753129,1.052850,0.299721,1.624921,108.941042,9.650961,1.012466,1.012364,0.059464
35,avoidance,2,49.000000,116,120,3.160000,3.320000,0.160000,0.894174,-4.887706,4.968824,4.968824,1.523444,1.623962,-0.100518,-0.456250,44.712096,9.287468,1.711190,0.307861,1.607867
36,avoidance,2,17.000000,141,144,4.160000,4.280000,0.120000,0.485666,-3.692328,3.724131,3.601178,1.477617,1.493234,0.009111,-0.087115,40.603077,6.155721,1.032745,0.301519,1.625923
37,avoidance,2,17.000000,152,162,4.600000,5.000000,0.400000,0.118583,-2.727266,2.729842,2.686145,1.148393,1.371902,-0.223508,-0.538274,71.094572,-29.116954,0.676092,0.007653,0.952579
38,avoidance,2,61.000000,180,253,5.720000,8.640000,2.920000,0.229215,-1.312018,1.331890,0.351316,0.500848,0.954664,0.133469,-0.556509,91.473681,5.576665,0.412305,0.000095,0.259272
39,avoidance,2,13.000000,271,277,9.360000,9.600000,0.240000,0.414855,1.079091,1.156089,0.929047,1.448519,1.500228,0.051708,0.450843,51.765262,16.581467,0.641883,0.754541,0.079169
40,avoidance,2,41.000000,361,365,12.960000,13.120000,0.160000,-1.135639,7.436994,7.523202,7.523202,1.919559,2.001010,-0.081451,-0.466242,41.581058,8.332132,2.165013,0.835492,1.030819
41,avoidance,2,15.000000,373,419,13.440000,15.280000,1.840000,-1.924387,9.357895,9.553715,8.375407,0.269387,1.785953,-1.405210,-1.297432,310.455848,125.481813,0.882490,0.657759,0.202214
42,conflict,3,31.000000,80,174,1.720000,5.480000,3.760000,2.972703,-1.325157,3.254690,3.076486,0.156693,2.894368,-2.262476,-3.029932,335.275195,-12.822942,0.286785,0.000354,0.083265
43,conflict,3,5.000000,180,215,5.720000,7.120000,1.400000,3.258252,1.317436,3.514519,3.428206,1.040128,1.999385,0.959257,-0.564698,40.158875,33.574827,0.577544,0.244871,0.070153
44,conflict,3,15.000000,272,304,9.400000,10.680000,1.280000,-3.195836,8.624884,9.197935,7.633688,0.792733,2.461087,-1.659432,-1.794386,54.287743,41.888771,0.782142,0.049816,0.233318
45,conflict,3,15.000000,344,348,12.280000,12.440000,0.160000,-3.758127,8.935020,9.693199,9.693199,0.333446,0.352474,-0.004291,-0.003940,278.678661,34.646088,0.840524,0.695486,1.295836
46,deceleration,3,31.000000,127,150,3.600000,4.520000,0.920000,3.147789,0.260003,3.158509,3.076486,0.346328,2.461192,-2.114864,-3.029932,225.719838,-10.008971,0.286785,0.001807,0.342762
47,deceleration,3,15.000000,263,306,9.040000,10.760000,1.720000,-2.462716,8.378695,8.733127,6.835655,0.729410,2.739369,-2.009959,-1.794386,54.287743,55.873943,0.782142,0.049816,0.079366
48,deceleration,3,4.000000,325,334,11.520000,11.880000,0.360000,-3.700223,9.078649,9.803750,9.674467,0.347955,0.719708,-0.371753,-0.973485,267.647415,69.237198,0.834757,0.823770,0.079627
49,turning,3,18.000000,39,44,0.080000,0.280000,0.200000,3.864976,-9.271219,10.044578,9.845185,0.762055,1.253789,0.491734,2.302726,106.160391,-14.130683,0.937680,1.648165,0.824679
50,turning,3,29.000000,146,150,4.360000,4.520000,0.160000,3.195777,0.564304,3.245216,3.215148,0.346328,0.672548,-0.326220,-2.408633,225.719838,-3.915789,0.286785,0.014077,0.370814
51,turning,3,44.000000,157,167,4.800000,5.200000,0.400000,3.345168,0.421657,3.371638,3.280904,0.305454,0.469206,0.011693,-0.490889,263.635482,2.779520,0.325851,0.306908,0.083265
