pedestrian,departure_time_s,arrival_time_s,travel_time_s,route_length_m,straight_distance_m,detour_ratio,route_side,signed_right_deviation_m,peak_abs_deviation_m,mean_speed_m_s,min_speed_m_s,center_median_speed_m_s,approach_median_speed_m_s,center_conflict_rate,approach_conflict_rate,center_avoidance_rate,approach_avoidance_rate,conflict_events,deceleration_events,turning_events,avoidance_events
1,0.600000,11.880000,11.280000,19.743163,19.424958,1.016381,right,0.415884,1.017388,1.739218,0.480299,1.374151,2.253038,1.000000,0.500000,0.413333,0.000000,4,2,5,4
2,0.600000,14.680000,14.080000,19.811517,19.335265,1.024631,right,0.175499,0.618280,1.395958,0.500848,0.812907,1.872381,0.872727,0.407407,0.736364,0.111111,5,2,11,8
3,0.480000,11.480000,11.000000,21.315426,19.190408,1.110733,right,2.829190,3.556475,1.917430,0.156693,,2.795290,,0.365079,,0.222222,4,3,11,4
4,0.520000,13.680000,13.160000,20.563701,19.449184,1.057304,right,1.065698,2.185788,1.551680,0.596078,1.252591,1.840886,1.000000,0.400000,1.000000,0.000000,4,4,12,9
5,0.800000,9.600000,8.800000,19.576078,19.294260,1.014606,right,0.365481,0.716042,2.206392,1.076608,1.874880,2.464154,1.000000,0.644068,0.518519,0.033898,5,2,6,3
6,0.440000,14.480000,14.040000,19.919441,19.528092,1.020040,left,-0.557787,0.933123,1.409016,0.279965,1.032904,1.875297,1.000000,0.321429,0.351064,0.000000,6,2,6,5
7,0.640000,13.080000,12.440000,20.879410,19.318559,1.080795,right,2.626592,3.546738,1.670206,0.800510,,1.802260,,0.379630,,0.166667,4,3,7,4
8,0.640000,10.400000,9.760000,20.474566,19.343686,1.058462,right,0.334420,1.534543,2.077164,0.250684,2.124842,2.250833,1.000000,0.650000,0.511628,0.016667,4,3,8,4
9,0.720000,11.520000,10.800000,25.868199,20.153041,1.283588,right,5.951747,7.266151,2.380304,0.853477,,2.663964,,0.449275,,0.137681,5,4,3,3
10,1.760000,10.320000,8.560000,23.198161,19.462696,1.191929,left,-4.747891,5.162614,2.688786,1.294922,,2.840225,,1.000000,,0.148148,3,4,8,9
11,0.800000,13.520000,12.720000,23.331437,19.440533,1.200144,right,4.645862,5.855051,1.825371,1.075874,,1.923165,,0.493213,,0.067873,5,3,5,5
12,0.400000,6.720000,6.320000,19.687007,18.908720,1.041160,right,1.988530,2.538444,3.090954,1.843402,,2.884374,,0.241379,,0.000000,3,1,3,1
13,1.160000,15.840000,14.680000,19.320123,18.697114,1.033321,central,0.008608,0.771723,1.310155,0.569689,1.019450,1.414398,0.801980,0.660000,0.415842,0.000000,4,1,7,6
14,0.640000,15.440000,14.800000,19.571289,18.832611,1.039223,central,-0.139622,0.845073,1.313741,0.534309,1.027607,1.467670,0.921569,0.261682,0.568627,0.121495,4,4,16,11
15,0.680000,10.760000,10.080000,20.282458,19.806520,1.024029,right,0.916559,1.596907,2.001964,0.245240,1.441722,2.590119,1.000000,0.396552,0.000000,0.086207,5,3,1,2
16,0.560000,12.120000,11.560000,19.674779,19.449934,1.011560,right,0.185684,0.886793,1.694473,0.813872,1.196398,2.303932,0.833333,0.641791,0.166667,0.149254,3,4,3,4
17,0.640000,13.440000,12.800000,19.775799,19.272352,1.026123,right,0.183119,0.687282,1.536285,0.424150,1.187447,1.920510,1.000000,0.666667,0.246914,0.392857,5,5,5,7
18,0.680000,15.440000,14.760000,21.403460,19.579095,1.093179,left,-2.117736,3.300339,1.443021,0.482304,,1.808109,,0.378947,,0.021053,4,3,6,7
19,0.560000,8.360000,7.800000,28.511131,19.616533,1.453424,left,-8.114420,8.806378,3.627844,1.393886,,,,,,,3,1,6,4
20,0.320000,8.800000,8.480000,18.889088,18.552116,1.018164,right,0.939409,1.620097,2.218498,1.052763,1.549139,2.606002,0.781818,0.137931,0.381818,0.000000,4,3,3,3
21,0.640000,16.960000,16.320000,21.212382,20.023452,1.059377,left,-0.605389,1.743272,1.290085,0.064390,0.804800,1.679100,0.948454,0.457447,0.577320,0.106383,6,4,12,10
22,0.600000,8.000000,7.400000,19.378934,19.319781,1.003062,central,-0.013050,0.352504,2.604601,1.679391,2.177546,2.637186,1.000000,0.313725,0.431818,0.000000,3,2,7,4
23,0.640000,15.840000,15.200000,21.169828,19.761924,1.071243,left,-0.877333,2.149566,1.381537,0.686372,0.930854,1.736408,1.000000,0.384615,0.506024,0.032967,6,4,9,10
24,0.560000,13.600000,13.040000,20.283952,19.675721,1.030913,left,-0.517956,0.812194,1.539616,0.031337,0.948166,2.900000,1.000000,0.340000,0.464912,0.000000,2,4,8,7
25,0.640000,14.480000,13.840000,19.556434,19.201025,1.018510,right,0.228770,0.815905,1.404434,0.182558,0.555577,1.773361,0.954128,0.589744,0.403670,0.000000,4,4,6,6
26,0.520000,16.720000,16.200000,21.272779,19.340926,1.099884,right,0.156650,0.945417,1.294545,0.050828,0.560796,1.710075,0.815287,0.935897,0.611465,0.384615,3,4,10,9
27,0.720000,10.920000,10.200000,20.271762,19.371050,1.046498,right,1.753423,2.179103,1.971965,0.145385,1.262994,2.862088,1.000000,0.446429,1.000000,0.089286,5,2,7,6
28,0.600000,10.520000,9.920000,20.659844,18.996995,1.087532,right,1.688343,3.182574,2.068944,0.860732,,2.484631,,1.000000,,0.420290,5,4,7,5
29,0.480000,8.040000,7.560000,19.215497,18.811337,1.021485,left,-0.807908,1.237132,2.527044,1.033220,3.221700,2.642433,1.000000,0.857143,0.633333,0.000000,5,4,7,3
30,0.400000,7.480000,7.080000,20.093013,19.554112,1.027559,right,0.952271,1.846405,2.818328,0.734367,2.774771,3.178736,1.000000,0.276596,1.000000,0.000000,5,3,3,2
31,0.520000,7.560000,7.040000,19.642202,18.835351,1.042837,left,-0.897472,1.996335,2.771087,1.104675,3.708632,2.883422,1.000000,0.415094,0.692308,0.113208,7,2,5,3
32,0.520000,8.680000,8.160000,21.448224,19.816221,1.082357,right,2.510992,3.459911,2.611138,0.812400,,3.295123,,0.372881,,0.050847,3,2,3,3
33,0.880000,13.160000,12.280000,21.734275,19.066975,1.139891,left,-3.685460,4.762150,1.761555,1.167150,,1.885323,,0.959538,,0.277457,3,3,6,5
34,1.560000,9.440000,7.880000,22.801167,19.193069,1.187990,left,-4.731686,5.268709,2.873984,0.759116,,3.541987,,0.928571,,0.230159,6,3,5,4
35,1.040000,14.680000,13.640000,22.898513,19.874656,1.152146,right,3.959854,5.293713,1.671991,0.469120,,1.758454,,0.206731,,0.072115,3,2,5,3
36,1.040000,12.920000,11.880000,21.957106,19.518093,1.124962,right,3.885354,4.772779,1.841182,0.587925,,2.001786,,0.283871,,0.038710,4,3,3,3
37,0.680000,15.360000,14.680000,19.715903,19.412226,1.015644,right,0.494822,0.657465,1.335520,0.590697,0.947673,1.573664,0.903846,0.526316,0.480769,0.000000,2,2,7,5
38,0.800000,14.600000,13.800000,19.645359,18.957966,1.036259,right,1.623696,2.242426,1.416066,0.752722,,1.561472,,0.866667,,0.066667,7,4,8,9
39,0.720000,14.520000,13.800000,19.716749,19.028632,1.036162,right,1.359898,1.966481,1.419903,0.820431,0.975433,1.646754,1.000000,0.391753,0.391892,0.000000,6,3,6,6
40,0.680000,12.920000,12.240000,23.095797,19.327060,1.194998,right,4.982683,5.937986,1.869733,0.599179,,1.949287,,0.773333,,0.155556,9,5,8,8
41,0.440000,9.840000,9.400000,20.132268,19.229433,1.046951,right,1.389916,2.058026,2.128205,0.962094,1.584389,2.332248,1.000000,0.322581,0.479167,0.096774,6,3,5,3
42,0.440000,10.080000,9.640000,18.943040,18.758536,1.009836,right,0.218261,0.541897,1.949713,0.711850,1.811879,2.110488,1.000000,0.382353,0.074074,0.176471,6,5,4,7
43,0.720000,10.200000,9.480000,24.969669,19.352705,1.290242,right,5.768161,6.567444,2.615309,0.517376,,3.252327,,0.042373,,0.050847,6,3,6,3
44,0.480000,9.320000,8.840000,20.892734,19.144494,1.091318,right,2.808213,3.576957,2.346127,1.053025,,2.735276,,0.811594,,0.000000,3,3,6,5
45,0.760000,10.400000,9.640000,21.757214,19.583115,1.111019,right,3.102512,4.413154,2.243188,0.594684,,2.430548,,0.435644,,0.009901,2,2,5,1
46,0.840000,13.800000,12.960000,19.340988,19.178081,1.008494,central,0.100250,0.295439,1.486660,0.685459,1.024049,1.832550,0.829787,0.592593,0.276596,0.061728,3,2,4,4
47,0.880000,13.240000,12.360000,22.906350,19.916886,1.150097,left,-4.171537,5.566033,1.843950,0.381779,,1.912016,,0.506726,,0.035874,8,2,4,4
48,0.720000,14.920000,14.200000,20.615736,18.990298,1.085593,left,-2.511247,3.505195,1.445768,0.961610,,1.523662,,0.634921,,0.063492,4,3,8,8
49,0.680000,9.200000,8.520000,20.401027,18.738567,1.088719,right,2.406842,3.766532,2.380294,1.197624,,2.328491,,0.837500,,0.237500,8,5,6,6
50,0.560000,10.880000,10.320000,19.760008,19.022963,1.038745,left,-1.644652,2.064629,1.901786,0.580638,1.230865,2.432168,1.000000,0.848485,0.522727,0.000000,5,3,5,4
51,0.600000,15.040000,14.440000,21.451471,19.383903,1.106664,left,-2.201975,3.440807,1.477173,0.902282,,1.434258,,0.666667,,0.099099,2,4,7,9
52,0.960000,15.680000,14.720000,21.158429,18.997277,1.113761,right,2.761125,3.805876,1.425171,0.713217,,1.495248,,0.939850,,0.323308,4,2,16,13
53,0.760000,14.480000,13.720000,19.540133,19.255298,1.014793,right,0.450988,0.916362,1.417887,0.583430,1.043622,1.648233,1.000000,0.744681,0.347826,0.000000,2,3,7,5
54,0.280000,7.720000,7.440000,18.999372,18.582805,1.022417,right,1.346034,1.936934,2.546086,1.325954,2.870936,2.653935,1.000000,0.224138,0.125000,0.000000,4,3,1,2
55,0.480000,7.040000,6.560000,20.751485,19.420029,1.068561,right,2.723455,3.264849,3.139753,1.271998,,3.326668,,0.000000,,0.000000,7,2,5,4
56,0.720000,12.560000,11.840000,19.516429,19.065440,1.023655,right,1.239437,1.996117,1.644267,1.162989,1.315641,1.726477,1.000000,0.325581,0.000000,0.000000,4,2,2,2
57,0.720000,14.680000,13.960000,20.043074,18.889618,1.061063,right,1.891592,2.425528,1.428379,0.690292,0.971830,1.658906,1.000000,0.655556,0.937500,0.000000,5,6,6,6
58,0.640000,14.640000,14.000000,20.751698,19.082350,1.087481,right,2.732781,3.516091,1.477095,1.054410,,1.569316,,0.735537,,0.000000,7,2,6,4
59,0.680000,13.680000,13.000000,19.261022,18.943580,1.016757,right,0.381885,0.804302,1.479173,1.000080,1.210687,1.672144,0.818182,0.791209,0.051948,0.000000,5,3,4,5
60,0.680000,10.640000,9.960000,19.329129,18.856369,1.025072,right,1.293386,1.973282,1.932243,0.917582,1.899119,1.977158,1.000000,0.351351,0.179487,0.000000,3,5,3,3
61,1.000000,15.880000,14.880000,18.545504,18.479026,1.003597,central,0.025200,0.202774,1.243175,0.504052,0.792533,1.288709,0.823009,0.533333,0.274336,0.000000,3,3,3,5
62,0.520000,13.040000,12.520000,19.151178,18.513406,1.034449,right,1.215954,2.055297,1.524673,0.827842,1.122177,1.723514,1.000000,0.075269,0.550000,0.000000,3,3,4,5
63,0.840000,9.760000,8.920000,22.088152,19.653983,1.123851,right,3.970693,4.639091,2.463744,0.692241,,3.061370,,0.663366,,0.277228,5,4,5,5
64,0.640000,15.400000,14.760000,19.711598,19.203950,1.026435,right,0.488841,0.921588,1.328511,0.883624,1.034521,1.507996,1.000000,0.525253,0.333333,0.000000,4,2,8,7
