event_id,event_type,pedestrian,neighbor,start_frame,end_frame,start_time_s,end_time_s,duration_s,x_m,y_m,radius_m,minimum_radius_m,min_speed_m_s,max_speed_m_s,speed_change_m_s,max_deceleration_m_s2,max_abs_turn_rate_deg_s,net_heading_change_deg,nearest_distance_m,predicted_separation_m,time_to_cpa_s
1,conflict,1,16.000000,39,43,0.080000,0.240000,0.160000,-2.013283,-9.886388,10.089300,10.089300,0.520999,0.793038,0.272039,1.474826,23.565411,-2.734348,0.719061,0.006864,1.359687
2,conflict,1,16.000000,50,54,0.520000,0.680000,0.160000,-1.903331,-9.622760,9.809189,9.633521,1.096732,1.161683,0.064951,0.494316,8.815881,-0.900107,0.648735,0.544786,0.125869
3,conflict,1,41.000000,86,112,1.960000,3.000000,1.040000,-0.746538,-7.539037,7.575909,6.105491,1.648825,1.810978,-0.070172,-0.720347,12.284160,7.452603,0.800231,0.009128,1.444031
4,conflict,1,22.000000,139,182,4.080000,5.800000,1.720000,0.640201,-4.188024,4.236674,3.736857,0.937903,1.397038,-0.074319,-0.748932,43.287742,-31.114807,0.605859,0.291511,0.185089
5,conflict,1,25.000000,190,237,6.120000,8.000000,1.880000,2.049595,-3.025648,3.654502,3.613477,1.597386,1.801213,0.203017,-0.040709,47.556037,48.373169,0.630985,0.272603,0.050737
6,conflict,1,16.000000,274,276,9.480000,9.560000,0.080000,3.653279,2.541050,4.450100,4.370225,1.879161,1.889499,-0.010339,-0.143539,1.791025,0.151190,1.121862,0.692044,1.903088
7,conflict,1,40.000000,389,421,14.080000,15.360000,1.280000,2.530766,10.539713,10.839295,10.476153,0.114165,1.423461,-1.248626,-2.913818,99.551485,84.104145,0.852604,0.003109,0.991576
8,deceleration,1,41.000000,110,116,2.920000,3.160000,0.240000,-0.110699,-6.043504,6.044518,5.872991,1.511584,1.718287,-0.206703,-0.727145,0.562996,-0.210410,0.773233,0.293469,0.050558
9,deceleration,1,5.000000,142,151,4.200000,4.560000,0.360000,0.572782,-4.308515,4.346422,4.172207,1.043893,1.323242,-0.279349,-0.748932,43.251587,-12.481091,0.605859,0.291511,0.185089
10,deceleration,1,40.000000,409,419,14.880000,15.280000,0.400000,2.165901,10.296905,10.522232,10.478335,0.338373,1.423461,-1.085088,-2.913818,88.507200,13.230215,0.939982,0.061123,0.991576
11,turning,1,22.000000,147,156,4.400000,4.760000,0.360000,0.711598,-4.081461,4.143030,4.050446,0.947074,1.170897,-0.223823,-0.747003,43.287742,-16.434575,0.623431,0.291511,1.610370
12,turning,1,63.000000,215,233,7.120000,7.840000,0.720000,3.656582,-1.088020,3.815021,3.752824,1.782102,1.801213,-0.009828,-0.040709,47.556037,32.293804,0.630985,0.630238,0.050737
13,turning,1,40.000000,376,419,13.560000,15.280000,1.720000,2.847191,10.615766,10.990950,10.371750,0.338373,1.554611,-1.216239,-2.913818,93.303528,123.967505,0.671020,0.003109,0.336896
14,avoidance,1,41.000000,110,116,2.920000,3.160000,0.240000,-0.135046,-6.103998,6.105491,5.872991,1.511584,1.718287,-0.206703,-0.727145,0.562996,-0.210410,0.773233,0.293469,0.050558
15,avoidance,1,22.000000,142,156,4.200000,4.760000,0.560000,0.640201,-4.188024,4.236674,4.050446,0.947074,1.323242,-0.376168,-0.748932,43.287742,-22.008768,0.605859,0.291511,0.185089
16,avoidance,1,63.000000,215,233,7.120000,7.840000,0.720000,3.460392,-1.552871,3.792851,3.752824,1.782102,1.801213,-0.009828,-0.040709,47.556037,32.293804,0.630985,0.630238,0.050737
17,avoidance,1,40.000000,376,419,13.560000,15.280000,1.720000,2.530766,10.539713,10.839295,10.371750,0.338373,1.554611,-1.216239,-2.913818,93.303528,123.967505,0.671020,0.003109,0.336896
18,conflict,2,41.000000,61,64,0.960000,1.080000,0.120000,1.855924,-8.840549,9.033258,8.827602,1.680251,1.737219,0.056968,0.419846,2.301088,-0.140431,0.857768,0.720258,0.781542
19,conflict,2,41.000000,79,98,1.680000,2.440000,0.760000,1.697640,-7.567831,7.755904,6.566703,1.531793,1.709830,-0.176445,-0.462858,6.105652,-0.105306,0.784643,0.364971,0.088110
20,conflict,2,41.000000,109,259,2.880000,8.880000,6.000000,1.695104,-1.565873,2.307669,1.497765,0.738377,1.537558,-0.432350,-0.652946,39.501694,-12.519833,0.397495,0.012752,0.062952
21,conflict,2,20.000000,311,315,10.960000,11.120000,0.160000,1.871677,3.986639,4.404142,4.404142,1.369047,1.418632,-0.049585,-0.384442,8.798007,-0.332052,0.624665,0.587422,0.128780
22,conflict,2,41.000000,345,377,12.320000,13.600000,1.280000,1.393391,6.106832,6.263780,5.932872,1.536167,1.681692,0.024697,-0.304758,13.801094,13.325403,0.759660,0.667595,0.058137
23,conflict,2,41.000000,402,413,14.600000,15.040000,0.440000,-0.944735,9.332153,9.379851,8.952935,1.704201,1.858563,-0.154363,-0.342399,26.018536,11.427388,0.597311,0.593223,0.062452
24,deceleration,2,20.000000,191,194,6.160000,6.280000,0.120000,1.653915,-1.266909,2.083386,2.051867,1.105007,1.204980,-0.099972,-0.652946,4.865549,-0.700406,0.433917,0.015628,1.562743
25,deceleration,2,3.000000,415,427,15.120000,15.600000,0.480000,-1.699513,9.861895,10.007263,9.599855,0.387115,1.733518,-1.322191,-3.525324,266.392077,-0.579089,0.626217,1.544098,0.944310
26,turning,2,41.000000,39,45,0.080000,0.320000,0.240000,1.987947,-9.930567,10.127591,9.941346,0.574236,1.005634,0.431398,1.624828,97.431657,14.756119,0.999337,0.974062,0.937304
27,turning,2,39.000000,220,224,7.320000,7.480000,0.160000,1.490972,-0.199239,1.504225,1.498101,0.738377,0.771194,-0.032817,-0.270412,39.501694,-8.464262,0.425905,0.948958,0.095802
