pedestrian,frame,risk_neighbor,neighbor_count,predicted_separation,time_to_cpa,preferred_speed,selected_speed,selected_turn_deg,action,route_side
1,37,16,9,0.841603,0.077720,1.900000,1.710000,-9.000000,follow_goal,right
2,37,41,10,0.935024,0.297166,1.900000,1.710000,-9.000000,follow_goal,left
3,37,18,10,1.857612,0.103373,1.900000,1.710000,-9.000000,follow_goal,left
4,37,21,10,0.995130,0.063766,1.900000,1.710000,-9.000000,follow_goal,right
5,37,22,10,0.782626,0.284929,1.900000,1.710000,-9.000000,follow_goal,right
6,37,26,9,0.758645,0.918065,1.900000,1.710000,-9.000000,follow_goal,right
7,37,63,10,0.814605,0.288628,1.900000,1.710000,-9.000000,follow_goal,right
8,37,30,9,0.743297,0.554865,1.900000,1.710000,0.000000,follow_goal,right
9,37,51,8,1.201234,0.014106,1.900000,1.710000,-9.000000,follow_goal,left
10,37,34,9,0.725723,0.233335,1.900000,1.710000,-9.000000,follow_goal,right
11,37,12,9,0.744160,0.800691,1.900000,1.710000,9.000000,follow_goal,right
12,37,53,9,1.068366,0.092292,1.900000,1.710000,0.000000,follow_goal,right
13,37,52,10,0.815604,0.018444,1.900000,1.710000,-9.000000,follow_goal,central
14,37,60,10,0.975512,0.133846,1.900000,1.710000,-9.000000,follow_goal,left
15,37,3,9,0.735533,0.603655,1.900000,1.710000,0.000000,follow_goal,right
16,37,1,10,0.824247,0.133254,1.900000,1.710000,-9.000000,follow_goal,central
17,37,1,10,1.614567,0.553725,1.900000,1.710000,-9.000000,follow_goal,right
18,37,4,10,0.875059,0.305977,1.900000,1.710000,-9.000000,follow_goal,central
19,37,20,10,0.876609,1.004942,1.900000,1.710000,0.000000,follow_goal,left
20,37,1,9,2.630207,0.442042,1.900000,1.710000,0.000000,follow_goal,right
21,37,23,9,1.073039,0.364528,1.900000,1.710000,-9.000000,follow_goal,right
22,37,44,10,0.772265,0.574470,1.900000,1.710000,0.000000,follow_goal,right
23,37,45,9,0.935107,0.191724,1.900000,1.710000,-9.000000,follow_goal,central
24,37,47,10,0.950650,0.293735,1.900000,1.710000,-9.000000,follow_goal,right
25,37,46,10,0.827623,0.168768,1.900000,1.710000,-9.000000,follow_goal,right
26,37,27,9,0.805565,0.194166,1.900000,1.710000,-9.000000,follow_goal,right
27,37,50,9,0.805040,0.321061,1.900000,1.710000,-9.000000,follow_goal,right
28,37,49,10,0.742663,0.165962,1.900000,1.710000,0.000000,follow_goal,right
29,37,28,9,0.855263,0.284627,1.900000,1.710000,-9.000000,follow_goal,right
30,37,32,10,1.052955,0.219603,1.900000,1.710000,0.000000,follow_goal,right
31,37,28,10,1.945684,0.186693,1.900000,1.710000,-9.000000,follow_goal,left
32,37,9,9,0.757811,0.498841,1.900000,1.710000,-9.000000,follow_goal,right
33,37,31,10,0.713412,0.259611,1.900000,1.900000,0.000000,follow_goal,right
34,37,33,10,1.097097,0.018709,1.900000,1.710000,-9.000000,follow_goal,left
35,37,51,8,0.761483,0.220912,1.900000,1.710000,-9.000000,follow_goal,left
36,37,10,9,1.153730,0.383219,1.900000,1.710000,-9.000000,follow_goal,right
37,37,53,10,0.819835,0.026490,1.900000,1.710000,-9.000000,follow_goal,left
38,37,13,10,1.074749,0.204873,1.900000,1.710000,-9.000000,follow_goal,central
39,37,64,10,0.855253,0.097188,1.900000,1.710000,-9.000000,follow_goal,left
40,37,42,10,0.898835,0.234091,1.900000,1.710000,-9.000000,follow_goal,left
41,37,42,10,0.965215,0.202163,1.900000,1.710000,-9.000000,follow_goal,left
42,37,41,10,0.975452,0.129499,1.900000,1.710000,-9.000000,follow_goal,right
43,37,18,10,0.888131,0.195601,1.900000,1.710000,-9.000000,follow_goal,right
44,37,19,10,0.702473,0.441549,1.900000,1.900000,0.000000,follow_goal,right
45,37,23,10,0.982526,0.067012,1.900000,1.710000,-9.000000,follow_goal,left
46,37,5,9,1.030201,0.218130,1.900000,1.710000,-9.000000,follow_goal,right
47,37,6,10,0.842061,0.649097,1.900000,1.710000,0.000000,follow_goal,right
48,37,7,10,0.944582,0.263564,1.900000,1.710000,-9.000000,follow_goal,right
49,37,48,10,1.019513,0.238759,1.900000,1.710000,-9.000000,follow_goal,right
50,37,26,9,1.673708,0.747276,1.900000,1.710000,-9.000000,follow_goal,left
51,37,11,9,1.613699,0.124101,1.900000,1.710000,-9.000000,follow_goal,left
52,37,36,10,0.877903,0.203492,1.900000,1.710000,-9.000000,follow_goal,right
53,37,37,9,0.786209,0.170208,1.900000,1.710000,-9.000000,follow_goal,right
54,37,58,9,2.765226,0.037962,1.900000,1.710000,-9.000000,follow_goal,left
55,37,57,9,0.785172,0.352366,1.900000,1.710000,-9.000000,follow_goal,right
56,37,38,9,0.946754,0.233246,1.900000,1.710000,-9.000000,follow_goal,right
57,37,58,10,0.908458,0.252680,1.900000,1.710000,-9.000000,follow_goal,right
58,37,62,9,0.813509,0.383552,1.900000,1.710000,0.000000,follow_goal,right
59,37,14,9,1.039171,0.219301,1.900000,1.710000,-9.000000,follow_goal,left
60,37,14,10,0.979988,0.137578,1.900000,1.710000,-9.000000,follow_goal,right
61,37,60,10,0.947486,0.122629,1.900000,1.710000,-9.000000,follow_goal,right
62,37,61,9,0.962080,0.333537,1.900000,1.710000,-9.000000,follow_goal,right
63,37,7,10,0.943864,0.084920,1.900000,1.710000,-9.000000,follow_goal,left
64,37,39,9,0.851674,0.164018,1.900000,1.710000,-9.000000,follow_goal,left
1,38,16,9,0.815168,0.075327,1.900000,1.710000,-9.000000,follow_goal,right
2,38,41,10,0.926245,0.333370,1.900000,1.710000,-9.000000,follow_goal,left
3,38,18,10,1.856997,0.096212,1.900000,1.710000,-9.000000,follow_goal,left
4,38,21,10,1.001917,0.071424,1.900000,1.710000,-9.000000,follow_goal,right
5,38,22,10,0.760102,0.315232,1.900000,1.710000,-9.000000,follow_goal,right
6,38,26,9,0.738631,1.029723,1.900000,1.710000,-9.000000,follow_goal,right
7,38,63,10,0.787556,0.315540,1.900000,1.710000,-9.000000,follow_goal,right
8,38,30,9,0.704381,0.613422,1.900000,1.710000,0.000000,follow_goal,right
9,38,51,8,1.216956,0.014909,1.900000,1.710000,-9.000000,follow_goal,left
10,38,34,9,0.709963,0.257033,1.900000,1.710000,-9.000000,follow_goal,right
