pedestrian,route_side,route_choice,waypoint_x,waypoint_y,crowd_pressure
1,right,1,1.959124,-0.402283,1.000000
2,left,-1,-1.961793,-0.389061,1.000000
3,left,-1,-1.845365,-0.771122,1.000000
4,right,1,1.563639,1.247010,1.000000
5,right,1,1.283351,-1.533953,1.000000
6,right,1,0.604795,1.906364,1.000000
7,right,1,0.602983,-1.906938,1.000000
8,right,1,-0.146218,1.994648,1.000000
9,left,-1,0.753527,-1.852619,1.000000
10,right,1,-0.895408,-1.788364,1.000000
11,right,1,-1.231510,1.575875,1.000000
12,right,1,-1.412332,1.416093,1.000000
13,central,0,-0.000000,-0.000000,1.000000
14,left,-1,1.956061,0.416924,1.000000
15,right,1,1.912004,0.586722,1.000000
16,central,0,0.000000,-0.000000,1.000000
17,right,1,1.854956,-0.747755,1.000000
18,central,0,0.000000,0.000000,1.000000
19,left,-1,-1.672535,1.096643,1.000000
20,right,1,1.781630,-0.908732,1.000000
21,right,1,1.443378,1.384435,1.000000
22,right,1,1.418628,-1.409785,1.000000
23,central,0,0.000000,0.000000,1.000000
24,right,1,0.980419,1.743209,1.000000
25,right,1,0.961866,-1.753514,1.000000
26,right,1,0.393955,1.960816,1.000000
27,right,1,0.221902,1.987652,1.000000
28,right,1,0.030562,-1.999766,1.000000
29,right,1,-0.168104,-1.992923,1.000000
30,right,1,-0.344085,1.970179,1.000000
31,left,-1,0.365691,1.966283,1.000000
32,right,1,-0.554683,1.921543,1.000000
33,right,1,-0.534687,-1.927202,1.000000
34,left,-1,0.742859,1.856922,1.000000
35,left,-1,1.100038,-1.670304,1.000000
36,right,1,-1.117432,-1.658718,1.000000
37,left,-1,1.650218,-1.129947,1.000000
38,central,0,-0.000000,-0.000000,1.000000
39,left,-1,1.755022,0.959113,1.000000
40,left,-1,-1.990871,0.190869,1.000000
41,left,-1,-1.990941,-0.190143,1.000000
42,right,1,1.999996,-0.003978,1.000000
43,right,1,1.767964,0.935041,1.000000
44,right,1,1.554371,-1.258543,1.000000
45,left,-1,-1.123740,-1.654451,1.000000
46,right,1,1.110417,-1.663422,1.000000
47,right,1,0.796442,1.834579,1.000000
48,right,1,0.401924,-1.959198,1.000000
49,right,1,0.190271,-1.990929,1.000000
50,left,-1,-0.041139,-1.999577,1.000000
51,left,-1,0.964715,-1.751949,1.000000
52,right,1,-1.267911,-1.546739,1.000000
53,right,1,-1.553902,1.259122,1.000000
54,left,-1,1.776885,-0.917977,1.000000
55,right,1,-1.850087,0.759723,1.000000
56,right,1,-1.664030,-1.109507,1.000000
57,right,1,-1.913797,0.580846,1.000000
58,right,1,-1.961649,0.389784,1.000000
59,left,-1,1.897895,0.630867,1.000000
60,right,1,-1.988178,-0.217140,1.000000
61,right,1,-1.999881,-0.021823,1.000000
62,right,1,-1.989720,0.202524,1.000000
63,left,-1,-0.783061,1.840330,1.000000
64,left,-1,1.831762,0.802900,1.000000
