pedestrian,frame,time,x,y,vx_model,vy_model,route_side_model,hard_core_correction_m
1,37,0.000000,-2.056063,-10.013060,-0.036589,0.211461,right,0.000000
2,37,0.000000,1.976541,-9.966478,0.213114,0.289297,left,0.000000
3,37,0.000000,3.893329,-9.317091,-0.368676,0.464857,left,0.000000
4,37,0.000000,6.358798,-7.973362,-0.338138,0.178496,right,0.000000
5,37,0.000000,-7.776874,-6.506365,0.031713,-0.014254,right,0.000000
6,37,0.000000,9.700510,-3.077492,-0.792058,0.208194,right,0.000000
7,37,0.000000,-9.470736,-2.994695,0.121944,-0.031866,right,0.000000
8,37,0.000000,10.108049,0.740974,-0.161931,-0.088448,right,0.000000
9,37,0.000000,9.525860,3.874512,-0.233111,-0.459025,left,0.000000
10,37,0.000000,-8.998713,4.505528,0.202588,-0.095165,right,0.000000
11,37,0.000000,7.998967,6.251005,-0.114417,-0.172159,right,0.000000
12,37,0.000000,7.010957,6.992334,-0.154561,-0.998238,right,0.000000
13,37,0.000000,-7.078110,6.826676,0.000479,0.010734,central,0.000000
14,37,0.000000,-2.065869,9.692336,-0.286425,-0.166374,left,0.000000
15,37,0.000000,3.054540,-9.954110,-0.008400,0.066842,right,0.000000
16,37,0.000000,-2.872552,-9.778930,0.686390,-0.006379,central,0.000000
17,37,0.000000,-3.786794,-9.393906,-0.058070,0.211429,right,0.000000
18,37,0.000000,5.622479,-8.617257,-0.243382,-0.026020,central,0.000000
19,37,0.000000,-5.475546,-8.350983,-0.135875,0.876672,left,0.000000
20,37,0.000000,-4.420538,-8.666766,0.102524,1.195612,right,0.000000
21,37,0.000000,7.284163,-7.594289,-0.099871,0.140870,right,0.000000
22,37,0.000000,-7.140405,-7.185196,-0.128338,0.258977,right,0.000000
23,37,0.000000,8.001693,-6.628579,-0.030749,0.225853,central,0.000000
24,37,0.000000,8.982012,-5.051683,0.002838,0.085079,right,0.000000
25,37,0.000000,-8.833381,-4.845431,0.263191,0.137399,right,0.000000
26,37,0.000000,9.945491,-1.998189,-0.907349,0.289758,right,0.000000
27,37,0.000000,10.078428,-1.125161,0.107768,-0.116885,right,0.000000
28,37,0.000000,-9.914980,-0.151527,0.076613,0.170044,right,0.000000
29,37,0.000000,-9.887524,0.834016,0.435362,-0.285799,right,0.000000
30,37,0.000000,10.094904,1.763041,-0.766722,-0.648606,right,0.000000
31,37,0.000000,-9.736632,1.810826,0.261941,0.403996,left,0.000000
32,37,0.000000,9.986411,2.882729,0.031235,-0.434913,right,0.000000
33,37,0.000000,-9.637683,2.673901,0.028011,0.064704,right,0.000000
34,37,0.000000,-9.259431,3.704224,-0.044711,0.128699,left,0.000000
35,37,0.000000,8.680614,5.716925,-0.111042,-0.032241,left,0.000000
36,37,0.000000,-8.321924,5.606247,0.034131,-0.047393,right,0.000000
37,37,0.000000,5.756960,8.407686,-0.286771,-0.144108,left,0.000000
38,37,0.000000,-6.328113,7.673210,-0.116846,-0.182029,central,0.000000
39,37,0.000000,-4.795332,8.774682,0.382121,-0.352152,left,0.000000
40,37,0.000000,-0.952605,-9.936182,0.114393,0.358696,left,0.000000
41,37,0.000000,0.958325,-10.034383,0.238770,0.442817,left,0.000000
42,37,0.000000,-0.019681,-9.894007,-0.152565,0.653264,right,0.000000
43,37,0.000000,4.731558,-8.946369,-0.047363,0.470621,right,0.000000
44,37,0.000000,-6.326153,-7.813149,0.257528,0.730150,right,0.000000
45,37,0.000000,8.524621,-5.790116,-0.077166,-0.007987,left,0.000000
46,37,0.000000,-8.385877,-5.597993,0.033148,-0.089746,right,0.000000
47,37,0.000000,9.448533,-4.101870,-0.144683,0.046532,right,0.000000
48,37,0.000000,-9.747580,-1.999690,0.396099,-0.095285,right,0.000000
49,37,0.000000,-9.774277,-0.934115,-0.000432,0.006512,right,0.000000
50,37,0.000000,9.914446,-0.203976,-0.139232,0.242467,left,0.000000
51,37,0.000000,8.914922,4.909025,-0.181128,0.081024,left,0.000000
52,37,0.000000,-7.731665,6.337888,0.135552,-0.076255,right,0.000000
53,37,0.000000,6.371925,7.863696,0.128661,-0.130005,right,0.000000
54,37,0.000000,4.473995,8.660102,-0.552461,-1.065264,left,0.000000
55,37,0.000000,3.821674,9.306585,-0.412909,0.001229,right,0.000000
56,37,0.000000,-5.553128,8.328542,0.165104,0.058115,right,0.000000
57,37,0.000000,2.875949,9.475805,-0.039269,-0.154811,right,0.000000
58,37,0.000000,1.941844,9.772626,-0.106687,-0.239556,right,0.000000
59,37,0.000000,-3.143690,9.457457,0.231610,-0.131396,left,0.000000
60,37,0.000000,-1.071398,9.809949,-0.146121,-0.065657,right,0.000000
61,37,0.000000,-0.106283,9.739936,0.027248,-0.176645,right,0.000000
62,37,0.000000,0.988189,9.708552,-0.046258,-0.421848,right,0.000000
63,37,0.000000,-9.143934,-3.890744,0.022406,0.252291,left,0.000000
64,37,0.000000,-4.041191,9.219702,-0.437282,-0.050694,left,0.000000
1,38,0.040000,-2.055028,-10.001276,0.025880,0.294609,right,0.000000
2,38,0.040000,1.983382,-9.951102,0.171040,0.384406,left,0.000000
3,38,0.040000,3.877303,-9.294538,-0.400633,0.563825,left,0.000000
4,38,0.040000,6.344691,-7.962103,-0.352679,0.281475,right,0.000000
5,38,0.040000,-7.771711,-6.505473,0.129076,0.022303,right,0.000000
6,38,0.040000,9.666692,-3.065972,-0.845446,0.288002,right,0.000000
7,38,0.040000,-9.461701,-2.996108,0.225886,-0.035325,right,0.000000
8,38,0.040000,10.097487,0.738223,-0.264051,-0.068764,right,0.000000
9,38,0.040000,9.512442,3.855410,-0.335448,-0.477550,left,0.000000
10,38,0.040000,-8.987935,4.498536,0.269456,-0.174819,right,0.000000
11,38,0.040000,7.990906,6.241846,-0.201515,-0.228992,right,0.000000
12,38,0.040000,7.000618,6.952582,-0.258467,-0.993799,right,0.000000
13,38,0.040000,-7.074832,6.822750,0.081961,-0.098154,central,0.000000
14,38,0.040000,-2.075530,9.681929,-0.241529,-0.260184,left,0.000000
15,38,0.040000,3.053759,-9.947300,-0.019535,0.170244,right,0.000000
16,38,0.040000,-2.844973,-9.775027,0.689491,0.097575,central,0.000000
17,38,0.040000,-3.785990,-9.382706,0.020120,0.280002,right,0.000000
18,38,0.040000,5.611596,-8.614299,-0.272079,0.073943,central,0.000000
19,38,0.040000,-5.478031,-8.313213,-0.062121,0.944256,left,0.000000
20,38,0.040000,-4.412760,-8.618408,0.194453,1.208949,right,0.000000
21,38,0.040000,7.278557,-7.584819,-0.140152,0.236753,right,0.000000
22,38,0.040000,-7.140580,-7.172600,-0.004373,0.314912,right,0.000000
23,38,0.040000,7.997465,-6.616660,-0.105694,0.297959,central,0.000000
24,38,0.040000,8.979306,-5.045221,-0.067643,0.161554,right,0.000000
